cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,2,terminal,6,10,2,6,1
cell_2,2,terminal,6,10,2,6,2
cell_3,2,terminal,6,10,2,6,3
cell_4,2,terminal,6,10,2,6,4
cell_5,2,terminal,6,10,2,6,5
cell_6,2,terminal,6,10,2,6,6
cell_7,2,terminal,6,10,2,6,7
cell_8,2,terminal,6,10,2,6,8
cell_9,2,terminal,6,10,2,6,9
cell_10,2,terminal,6,10,2,6,10
cell_11,2,terminal,6,10,2,6,11
cell_12,2,terminal,6,10,2,6,12
cell_13,2,terminal,6,10,2,6,13
cell_14,2,terminal,6,10,2,6,14
cell_15,2,terminal,6,10,2,6,15
cell_16,2,terminal,6,10,2,6,16
cell_17,2,terminal,6,10,2,6,17
cell_18,2,terminal,6,10,2,6,18
cell_19,2,terminal,6,10,2,6,19
cell_20,2,terminal,6,10,2,6,20
cell_21,2,terminal,6,10,2,6,21
cell_22,2,terminal,6,10,2,6,22
cell_23,2,terminal,6,10,2,6,23
cell_24,2,terminal,6,10,2,6,24
cell_25,2,terminal,6,10,2,6,25
cell_26,2,terminal,6,10,2,6,26
cell_27,2,terminal,6,10,2,6,27
cell_28,2,terminal,6,10,2,6,28
cell_29,2,terminal,6,10,2,6,29
cell_30,2,terminal,6,10,2,6,30
cell_31,2,terminal,6,10,2,6,31
cell_32,2,terminal,6,10,2,6,32
cell_33,2,terminal,6,10,2,6,33
cell_34,2,terminal,6,10,2,6,34
cell_35,2,terminal,6,10,2,6,35
cell_36,2,terminal,6,10,2,6,36
cell_37,2,terminal,6,10,2,6,37
cell_38,2,terminal,6,10,2,6,38
cell_39,2,terminal,6,10,2,6,39
cell_40,2,terminal,6,10,2,6,40
cell_41,2,terminal,6,10,2,6,41
cell_42,2,terminal,6,10,2,6,42
cell_43,2,terminal,6,10,2,6,43
cell_44,2,terminal,6,10,2,6,44
cell_45,2,terminal,6,10,2,6,45
cell_46,2,terminal,6,10,2,6,46
cell_47,2,terminal,6,10,2,6,47
cell_48,2,terminal,6,10,2,6,48
cell_49,2,terminal,6,10,2,6,49
cell_50,2,terminal,6,10,2,6,50
cell_51,2,terminal,6,10,2,6,51
cell_52,2,terminal,6,10,2,6,52
cell_53,2,terminal,6,10,2,6,53
cell_54,2,terminal,6,10,2,6,54
cell_55,2,terminal,6,10,2,6,55
cell_56,2,terminal,6,10,2,6,56
cell_57,2,terminal,6,10,2,6,57
cell_58,2,terminal,6,10,2,6,58
cell_59,2,terminal,6,10,2,6,59
cell_60,2,terminal,6,10,2,6,60
cell_61,2,terminal,6,10,2,6,61
cell_62,2,terminal,6,10,2,6,62
cell_63,2,terminal,6,10,2,6,63
cell_64,2,terminal,6,10,2,6,64
cell_65,2,terminal,6,10,2,6,65
cell_66,2,terminal,6,10,2,6,66
cell_67,2,terminal,6,10,2,6,67
cell_68,2,terminal,6,10,2,6,68
cell_69,2,terminal,6,10,2,6,69
cell_70,2,terminal,6,10,2,6,70
cell_71,2,terminal,6,10,2,6,71
cell_72,2,terminal,6,10,2,6,72
cell_73,2,terminal,6,10,2,6,73
cell_74,2,terminal,6,10,2,6,74
cell_75,2,terminal,6,10,2,6,75
cell_76,2,terminal,6,10,2,6,76
cell_77,2,terminal,6,10,2,6,77
cell_78,2,terminal,6,10,2,6,78
cell_79,2,terminal,6,10,2,6,79
cell_80,2,terminal,6,10,2,6,80
cell_81,2,terminal,6,10,2,6,81
cell_82,2,terminal,6,10,2,6,82
cell_83,2,terminal,6,10,2,6,83
cell_84,2,terminal,6,10,2,6,84
cell_85,2,terminal,6,10,2,6,85
cell_86,2,terminal,6,10,2,6,86
cell_87,2,terminal,6,10,2,6,87
cell_88,2,terminal,6,10,2,6,88
cell_89,2,terminal,6,10,2,6,89
cell_90,2,terminal,6,10,2,6,90
cell_91,2,terminal,6,10,2,6,91
cell_92,2,terminal,6,10,2,6,92
cell_93,2,terminal,6,10,2,6,93
cell_94,2,terminal,6,10,2,6,94
cell_95,2,terminal,6,10,2,6,95
cell_96,2,terminal,6,10,2,6,96
cell_97,2,terminal,6,10,2,6,97
cell_98,2,terminal,6,10,2,6,98
cell_99,2,terminal,6,10,2,6,99
cell_100,2,terminal,6,10,2,6,100
cell_101,2,terminal,6,10,2,6,101
cell_102,2,terminal,6,10,2,6,102
cell_103,2,terminal,6,10,2,6,103
cell_104,2,terminal,6,10,2,6,104
cell_105,2,terminal,6,10,2,6,105
cell_106,2,terminal,6,10,2,6,106
cell_107,2,terminal,6,10,2,6,107
cell_108,2,terminal,6,10,2,6,108
cell_109,2,terminal,6,10,2,6,109
cell_110,2,terminal,6,10,2,6,110
cell_111,2,terminal,6,10,2,6,111
cell_112,2,terminal,6,10,2,6,112
cell_113,2,terminal,6,10,2,6,113
cell_114,2,terminal,6,10,2,6,114
cell_115,2,terminal,6,10,2,6,115
cell_116,2,terminal,6,10,2,6,116
cell_117,2,terminal,6,10,2,6,117
cell_118,2,terminal,6,10,2,6,118
cell_119,2,terminal,6,10,2,6,119
cell_120,2,terminal,6,10,2,6,120
cell_121,2,terminal,6,10,2,6,121
cell_122,2,terminal,6,10,2,6,122
cell_123,2,terminal,6,10,2,6,123
cell_124,2,terminal,6,10,2,6,124
cell_125,2,terminal,6,10,2,6,125
cell_126,2,terminal,6,10,2,6,126
cell_127,2,terminal,6,10,2,6,127
cell_128,2,terminal,6,10,2,6,128
cell_129,2,terminal,6,10,2,6,129
cell_130,2,terminal,6,10,2,6,130
cell_131,2,terminal,6,10,2,6,131
cell_132,2,terminal,6,10,2,6,132
cell_133,2,terminal,6,10,2,6,133
cell_134,2,terminal,6,10,2,6,134
cell_135,2,terminal,6,10,2,6,135
cell_136,2,terminal,6,10,2,6,136
cell_137,2,terminal,6,10,2,6,137
cell_138,2,terminal,6,10,2,6,138
cell_139,2,terminal,6,10,2,6,139
cell_140,2,terminal,6,10,2,6,140
cell_141,2,terminal,6,10,2,6,141
cell_142,2,terminal,6,10,2,6,142
cell_143,2,terminal,6,10,2,6,143
cell_144,2,terminal,6,10,2,6,144
cell_145,2,terminal,6,10,2,6,145
cell_146,2,terminal,6,10,2,6,146
cell_147,2,terminal,6,10,2,6,147
cell_148,2,terminal,6,10,2,6,148
cell_149,2,terminal,6,10,2,6,149
cell_150,2,terminal,6,10,2,6,150
cell_151,2,terminal,6,10,2,6,151
cell_152,2,terminal,6,10,2,6,152
cell_153,2,terminal,6,10,2,6,153
cell_154,2,terminal,6,10,2,6,154
cell_155,2,terminal,6,10,2,6,155
cell_156,2,terminal,6,10,2,6,156
cell_157,2,terminal,6,10,2,6,157
cell_158,2,terminal,6,10,2,6,158
cell_159,2,terminal,6,10,2,6,159
cell_160,2,terminal,6,10,2,6,160
